State,Borders
Argentine,"Chili, Uruguay, Paraguay, Bolivie","292,454"
Bolivie,"Paraguay, Brésil, Pérou, Argentine, Chili","295,285"
Brésil,"Guyane, Suriname, Guyana, Venezuela, Colombie, Pérou, Bolivie, Paraguay, Argentine, Uruguay","410,226"
Chili,"Argentine, Bolivie, Pérou","242,445"
Colombie,"Venezuela, Brésil, Pérou, Équateur","210,86"
Équateur,"Colombie, Pérou","162,134"
Guyana,"Suriname, Brésil, Venezuela","350,76"
Guyane,"Suriname, Brésil","405,84"
Paraguay,"Bolivie, Brésil, Argentine","350,342"
Pérou,"Équateur, Colombie, Brésil, Bolivie, Chili","189,211"
Suriname,"Guyane, Brésil, Guyana","377,82"
Uruguay,"Brésil, Argentine","361,435"
Venezuela,"Guyana, Brésil, Colombie","285,51"
