State,Borders
Albanie,"Grèce, Macédoine du Nord, Serbie, Monténégro","461,564"
Allemagne,"Pays-Bas, Belgique, Luxembourg, France, Suisse, Pologne","309,362"
Autriche,"Allemagne, Slovaquie, Hongrie, Slovénie, Italie, Suisse, Liechtenstein","369,428"
Belgique,"Pays-Bas, Allemagne, Luxembourg, France","239,361"
Biélorussie,"Lituanie, Lettonie, Russie, Ukraine, Pologne","528,293"
Bosnie-Herzégovine,"Croatie, Monténégro, Serbie","421,500"
Bulgarie,"Grèce, Macédoine du Nord, Serbie","530,523"
Chypre,"Grèce, Turquie","676,639"
Croatie,"Slovénie, Hongrie, Serbie, Bosnie-Herzégovine, Monténégro","396,471"
Danemark,"Allemagne, Suède, Norvège","307,251"
Espagne,"France, Portugal","93,560","183,591"
Estonie,"Russie, Finlande","481,197"
Finlande,"Russie, Norvège, Suède, Estonie","465,111"
France,"Belgique, Allemagne, Luxembourg, Suisse, Italie, Espagne","200,438","285,546"
Géorgie,"Russie, Turquie, Arménie, Azerbaïdjan"
Grèce,"Albanie, Bulgarie, Macédoine du Nord, Turquie","497,587","549,675"
Hongrie,"Serbie, Ukraine, Roumanie, Croatie","438,435"
Irlande,"None","101,294"
Islande,"None","120,75"
Italie,"France, Suisse, Autriche, Slovénie","341,534","282,590;370,643"
Kaliningrad,"Lituanie, Pologne","447,277"
Kosovo,"Monténégro, Albanie, Macédoine du Nord, Serbie","471,531"
Lettonie,"Lituanie, Estonie, Russie, Biélorussie","481,230"
Lituanie,"Pologne, Lettonie, Biélorussie","478,261"
Luxembourg,"Belgique, France, Allemagne","256,384"
Macédoine du Nord,"Grèce, Bulgarie, Serbie, Albanie","487,548"
Malte,"None","370,684"
Moldavie,"Roumanie, Ukraine","565,410"
Monténégro,"Albanie, Bosnie-Herzégovine, Croatie, Serbie","442,528"
Norvège,"Finlande, Russie, Suède","334,117"
Pays-Bas,"Allemagne, Belgique","257,326"
Pologne,"Allemagne, Biélorussie, Lituanie, Russie, Slovaquie, Ukraine, Tchéquie","425,329"
Portugal,"Espagne","24,554"
Roumanie,"Bulgarie, Hongrie, Moldavie, Ukraine, Serbie","520,450"
Royaume-Uni,"Chypre, Espagne, Irlande","170,296","128,262"
Russie,"Norvège, Finlande, Estonie, Lettonie, Biélorussie, Ukraine, Géorgie, Azerbaïdjan, Kazakhstan, Lituanie, Pologne","620,164"
Serbie,"Croatie, Hongrie, Bulgarie","462,497"
Slovaquie,"Hongrie, Autriche, Pologne, Ukraine, Tchéquie","436,398"
Slovénie,"Autriche, Hongrie, Croatie, Italie","373,461"
Suède,"Allemagne, Danemark, Estonie, Lettonie, Lituanie, Pologne","373,157"
Suisse,"Allemagne, Autriche, France, Italie, Liechtenstein","276,442"
Tchéquie,"Allemagne, Pologne, Autriche, Slovaquie","379,381"
Turquie,"Arménie, Bulgarie, Géorgie, Grèce, Azerbaïdjan","649,566","569,537"
Ukraine,"Biélorussie, Hongrie, Moldavie, Pologne, Roumanie, Russie, Slovaquie","590,364"
