State,Borders
Visage,"Langue, Oeil Droit, Oeil Gauche","335,318"
Langue,"Visage","336,369"
Oeil Droit,"Visage","327,224"
Oeil Gauche,"Visage","295,238"
Gant,"Ourlet Gant","504,232"
Ourlet Gant,"Gant","490,282"
Short,"Bouton Droit, Bouton Gauche","439,491"
Bouton Droit,"Short","472,436"
Bouton Gauche,"Short","427,450"
Chaussure Droite,"Ourlet Chaussure Droite","425,648"
Ourlet Chaussure Droite,"Chaussure Droite","365,627"
Chaussure Gauche,"Ourlet Chaussure Gauche","214,620"
Ourlet Chaussure Gauche,"Chaussure Gauche","274,586"
