State,Borders
Dnipropetrovsk,"Poltava, Kharkiv, Donetsk, Zaporijjia, Kherson, Mykolaiv, Kirovohrad","546,282"
Donetsk,"Louhansk, Kharkiv, Dnipropetrovsk, Zaporijjia","654,304"
Ivano-Frankivsk,"Transcarpatie, Lviv, Ternopil, Tchernivtsi","149,268"
Jytomyr,"Rivne, Khmelnytskyi, Vinnytsia, Kiev","298,160"
Kharkiv,"Soumy, Poltava, Dnipropetrovsk, Donetsk, Louhansk","602,215"
Kherson,"Mykolaiv, Dnipropetrovsk, Zaporijjia","496,391"
Khmelnytskyi,"Ternopil, Tchernivtsi, Vinnytsia, Jytomyr, Rivne","240,228"
Kiev,"Jytomyr, Vinnytsia, Tcherkassy, Poltava, Tchernihiv","374,188"
Kirovohrad,"Tcherkassy, Poltava, Dnipropetrovsk, Mykolaiv, Odessa, Vinnytsia","435,290"
Louhansk,"Kharkiv, Donetsk","703,244"
Lviv,"Ivano-Frankivsk, Transcarpatie, Ternopil, Rivne, Volhynie","126,205"
Mykolaiv,"Odessa, Kirovohrad, Dnipropetrovsk, Kherson","432,356"
Odessa,"Mykolaiv, Kirovohrad, Vinnytsia","345,419"
Poltava,"Soumy, Kharkiv, Tchernihiv, Kiev, Tcherkassy, Kirovohrad, Dnipropetrovsk","496,213"
Rivne,"Volhynie, Lviv, Ternopil, Khmelnytskyi, Jytomyr","230,141"
Soumy,"Tchernihiv, Poltava, Kharkiv","505,139"
Tcherkassy,"Kiev, Tchernihiv, Poltava, Kirovohrad, Vinnytsia","410,246"
Tchernihiv,"Kiev, Poltava, Soumy","428,124"
Tchernivtsi,"Ivano-Frankivsk, Ternopil, Khmelnytskyi, Vinnytsia","197,293"
Ternopil,"Lviv, Ivano-Frankivsk, Tchernivtsi, Khmelnytskyi, Rivne","189,228"
Transcarpatie,"Ivano-Frankivsk, Lviv","95,272"
Vinnytsia,"Tchernivtsi, Khmelnytskyi, Jytomyr, Kiev, Tcherkassy, Kirovohrad, Odessa","305,267"
Volhynie,"Rivne, Lviv","173,119"
Zaporijjia,"Kherson, Dnipropetrovsk, Donetsk","578,355"
