State,Borders
Afrique du Sud,"Botswana, Lesotho, Mozambique, Namibie, Eswatini, Zimbabwe","357,546"
Algérie,"Maroc, Mali, Mauritanie, Niger, Libye, Tunisie, Sahara occidental","216,82"
Angola,"République démocratique du Congo, République du Congo, Namibie, Zambie","310,404"
Bénin,"Niger, Burkina Faso, Togo, Nigeria","203,216"
Botswana,"Zambie, Namibie, Afrique du Sud","362,485"
Burkina Faso,"Bénin, Côte d'Ivoire, Ghana, Mali, Niger, Togo","170,196"
Burundi,"Rwanda, Tanzanie, République démocratique du Congo","424,329"
Cameroun,"Guinée équatoriale, Gabon, République du Congo, Nigeria, République centraficaine, Tchad","276,272"
République centraficaine,"Cameroun, République démocratique du Congo, République du Congo, Soudan,  Tchad","338,254"
République du Congo,"Gabon, Cameroun, République centraficaine, République démocratique du Congo","298,308"
République démocratique du Congo,"Angola, Burundi, République du Congo, République centraficaine, Rwanda, Ouganda, Tanzanie, Soudan, Zambie","364,330"
Côte d'Ivoire,"Burkina Faso, Ghana, Guinée, Mali, Liberia","136,225"
Djibouti,"Somalie, Éthiopie, Érythrée","497,195"
Égypte,"Libye, Soudan","398,97"
Érythrée,"Soudan, Éthiopie, Djibouti","473,174"
Eswatini,"Afrique du Sud, Mozambique","438,508"
Éthiopie,"Djibouti, Érythrée, Kenya, Somalie, Soudan","481,230"
Gabon,"République du Congo, Guinée équatoriale, Cameroun","263,310"
Gambie,"Sénégal","71,150"
Ghana,"Burkina Faso, Côte d'Ivoire, Togo","169,234"
Guinée,"Côte d'Ivoire, Guinée-Bissau, Liberia, Mali, Sénégal, Sierra Leone","101,183"
Guinée-Bissau,"Guinée, Sénégal","74,165"
Guinée équatoriale,"Cameroun, Gabon","259,293"
Kenya,"Somalie, Éthiopie, Soudan, Ouganda, Tanzanie","480,289"
Lesotho,"Afrique du Sud","401,544"
Liberia,"Sierra Leone, Guinée, Côte d'Ivoire","107,223"
Libye,"Algérie, Égypte, Niger, Soudan, Tchad, Tunisie","312,91"
Madagascar,"None","562,419"
Malawi,"Mozambique, Zambie, Tanzanie","460,403"
Mali,"Algérie, Burkina Faso, Guinée, Mauritanie, Niger, Sénégal, Côte d'Ivoire","170,154"
Maroc,"Mauritanie, Algérie","168,32"
Mauritanie,"Algérie, Sahara occidental, Mali, Sénégal","117,115"
Mozambique,"Afrique du Sud, Zimbabwe, Malawi, Eswatini, Tanzanie, Zambie","472,434"
Namibie,"Afrique du Sud, Botswana, Zimbabwe, Zambie, Angola","312,478"
Niger,"Algérie, Libye, Tchad, Nigeria, Bénin, Burkina Faso, Mali","255,167"
Nigeria,"Bénin, Niger, Cameroun, Tchad","238,234"
Ouganda,"Kenya, Tanzanie, Rwanda, République démocratique du Congo","437,294"
Rwanda,"Ouganda, Burundi, Tanzanie, République démocratique du Congo","422,318"
Sahara occidental,"Maroc, Algérie, Mauritanie","107,73"
Sénégal,"Mauritanie, Mali, Guinée, Guinée Bissau, Gambie","89,149"
Sierra Leone,"Guinée, Liberia","92,203"
Somalie,"Djibouti, Éthiopie, Kenya","539,232"
Soudan,"République centraficaine, Égypte, Érythrée, Éthiopie, Libye, Tchad","409,204"
Tanzanie,"Malawi, République démocratique du Congo, Mozambique, Burundi, Rwanda, Ouganda","467,348"
Tchad,"Libye, Niger, Nigeria, Cameroun, République centraficaine, Soudan","329,186"
Togo,"Burkina Faso, Ghana, Bénin","188,234"
Tunisie,"Algérie, Libye","263,38"
Zambie,"Zimbabwe, Angola, Botswana, République démocratique du Congo, Malawi, Mozambique, Namibie, Tanzanie","408,419"
Zimbabwe,"Afrique du Sud, Botswana, Mozambique, Zambie","426,453"
