State,Borders
Argentine,"Chili, Uruguay, Paraguay, Bolivie"
Bolivie,"Paraguay, Brésil, Pérou, Argentine, Chili"
Brésil,"Guyane, Suriname, Guyana, Venezuela, Colombie, Pérou, Bolivie, Paraguay, Argentine, Uruguay"
Chili,"Argentine, Bolivie, Pérou"
Colombie,"Venezuela, Brésil, Pérou, Équateur"
Équateur,"Colombie, Pérou"
Guyana,"Suriname, Brésil, Venezuela"
Guyane,"Suriname, Brésil"
Paraguay,"Bolivie, Brésil, Argentine"
Pérou,"Équateur, Colombie, Brésil, Bolivie, Chili"
Suriname,"Guyane, Brésil, Guyana"
Uruguay,"Brésil, Argentine"
Venezuela,"Guyana, Brésil, Colombie"
