State,Borders
Anhui,"Hubei, Henan, Jiangsu, Zhejiang, Jiangxi, Shandong","612,415"
Chongqing,"Sichuan, Guizhou, Hunan, Hubei, Shaanxi","478,460"
Fujian,"Guangdong, Jiangxi, Zhejiang","640,518"
Gansu,"Xinjiang, Qinghai, Sichuan, Shaanxi, Mongolie Intérieur, Ningxia","373,302"
Guangdong,"Guangxi, Hunan, Jiangxi, Fujian, ","566,567"
Guangxi,"Yunnan, Guizhou, Hunan, Guangdong","495,574"
Guizhou,"Sichuan, Chongqing, Hunan, Guangxi, Yunnan","463,518"
Hainan,"None","512,652"
Henan,"Shaanxi, Shanxi, Hebei, Shandong, Anhui, Hubei","555,384"
Hebei,"Pékin, Tianjin, Liaoning, Mongolie Intérieur, Shanxi, Henan, Shandong","565,272"
Heilongjiang,"Jilin, Mongolie Intérieur","700,124"
Hubei,"Shaanxi, Chongqing, Hunan, Jiangxi, Anhui, Henan","545,438"
Hunan,"Guizhou, Guangxi, Guangdong, Jiangxi, Hubei, Chongqing","535,497"
Jiangsu,"Shanghai, Zhejiang, Anhui, Shandong","649,394"
Jiangxi,"Hunan, Guangdong, Fujian, Zhejiang, Anhui, Hubei","596,493"
Jilin,"Heilongjiang, Mongolie Intérieur, Liaoning","699,193"
Liaoning,"Hebei, Mongolie Intérieur, Jilin","666,238"
Mongolie Intérieur,"Gansu, Ningxia, Shaanxi, Shanxi, Hebei, Liaoning, Jilin, Heilongjiang","549,217"
Ningxia,"Gansu, Mongolie Intérieur, Shaanxi","447,333"
Pékin,"Hebei, Tianjin","585,273"
Qinghai,"Xinjiang, Tibet, Gansu, Sichuan","302,352"
Shaanxi,"Ningxia, Gansu, Sichuan, Chongqing, Hubei, Henan, Shanxi, Mongolie Intérieur","494,372"
Shandong,"Hebei, Henan, Anhui, Jiangsu","614,341"
Shanghai,"Zhejiang, Jiangsu","679,422"
Shanxi,"Hebei, Mongolie Intérieur, Shaanxi, Henan","533,325"
Sichuan,"Chongqing, Tibet, Qinghai, Gansu, Shaanxi, Guizhou, Yunnan","398,447"
Tianjin,"Pékin, Hebei","600,288"
Tibet,"Xinjiang, Qinghai, Sichuan, Yunnan","200,432"
Xinjiang,"Gansu, Qinghai, Tibet","171,245"
Yunnan,"Tibet, Sichuan, Guizhou, Guangxi","374,555"
Zhejiang,"Shanghai, Jiangsu, Anhui, Jiangxi, Fujian","663,453"
