State,Borders
Albanie,"Grèce, Macédoine du Nord, Serbie, Monténégro"
Allemagne,"Pays-Bas, Belgique, Luxembourg, France, Suisse, Pologne"
Arménie,"Turquie, Géorgie, Azerbaïdjan"
Autriche,"Allemagne, Slovaquie, Hongrie, Slovénie, Italie, Suisse, Liechtenstein"
Azerbaïdjan,"Arménie, Géorgie, Russie"
Belgique,"Pays-Bas, Allemagne, Luxembourg, France"
Biélorussie,"Lituanie, Lettonie, Russie, Ukraine, Pologne"
Bosnie-Herzégovine,"Croatie, Monténégro, Serbie"
Bulgarie,"Grèce, Macédoine du Nord, Serbie"
Chypre,"Grèce, Turquie"
Croatie,"Slovénie, Hongrie, Serbie, Bosnie-Herzégovine, Monténégro"
Danemark,"Allemagne, Suède, Norvège"
Espagne,"France, Portugal"
Estonie,"Russie, Finlande"
Finlande,"Russie, Norvège, Suède, Estonie"
France,"Belgique, Allemagne, Luxembourg, Suisse, Italie, Espagne"
Géorgie,"Russie, Turquie, Arménie, Azerbaïdjan"
Grèce,"Albanie, Bulgarie, Macédoine du Nord, Turquie"
Hongrie,"Serbie, Ukraine, Roumanie, Croatie"
Irlande,"None"
Islande,"None"
Italie,"France, Suisse, Autriche, Slovénie"
Kazakhstan,"Russie"
Lettonie,"Lituanie, Estonie, Russie, Biélorussie"
Liechtenstein,"Suisse, Autriche"
Lituanie,"Pologne, Lettonie, Biélorussie"
Luxembourg,"Belgique, France, Allemagne"
Macédoine du Nord,"Grèce, Bulgarie, Serbie, Albanie"
Malte,"None"
Moldavie,"Roumanie, Ukraine"
Monténégro,"Albanie, Bosnie-Herzégovine, Croatie, Serbie"
Norvège,"Finlande, Russie, Suède"
Pays-Bas,"Allemagne, Belgique"
Pologne,"Allemagne, Biélorussie, Lituanie, Russie, Slovaquie, Ukraine, Tchéquie"
Portugal,"Espagne"
Roumanie,"Bulgarie, Hongrie, Moldavie, Ukraine, Serbie"
Royaume-Uni,"Chypre, Espagne, Irlande"
Russie,"Norvège, Finlande, Estonie, Lettonie, Biélorussie, Ukraine, Géorgie, Azerbaïdjan, Kazakhstan, Lituanie, Pologne"
Serbie,"Croatie, Hongrie, Bulgarie"
Slovaquie,"Hongrie, Autriche, Pologne, Ukraine, Tchéquie"
Slovénie,"Autriche, Hongrie, Croatie, Italie"
Suède,"Allemagne, Danemark, Estonie, Lettonie, Lituanie, Pologne"
Suisse,"Allemagne, Autriche, France, Italie, Liechtenstein"
Tchéquie,"Allemagne, Pologne, Autriche, Slovaquie"
Turquie,"Arménie, Bulgarie, Géorgie, Grèce, Azerbaïdjan"
Ukraine,"Biélorussie, Hongrie, Moldavie, Pologne, Roumanie, Russie, Slovaquie"
