State,Borders
Alsace,"Lorraine, Franche-Comté"
Aquitaine,"Poitou-Charentes, Limousin, Midi-Pyrénées"
Auvergne,"Centre, Bourgogne, Rhône-Alpes, Languedoc-Roussillon, Midi-Pyrénées, Limousin"
Basse Normandie,"Haute Normandie, Centre, Pays de la Loire, Bretagne"
Bourgogne,"Ile de France, Champagne-Ardenne, Franche-Comté, Rhône-Alpes, Auvergne, Centre"
Bretagne,"Basse Normandie, Pays de la Loire"
Centre,"Haute Normandie, Basse Normandie, Ile de France, Bourgogne, Auvergne, Limousin, Poitou-Charentes, Pays de la Loire"
Champagne-Ardenne,"Picardie, Ile de France, Bourgogne, Franche-Comté, Lorraine, Nord-Pas-de-Calais"
Corse,"None"
Franche-Comté,"Alsace, Lorraine, Champagne-Ardenne, Bourgogne, Rhône-Alpes"
Haute Normandie,"Picardie, Ile de France, Centre, Basse Normandie"
Ile de France,"Haute Normandie, Picardie, Champagne-Ardenne, Bourgogne, Centre","325,162"
Languedoc-Roussillon,"Auvergne, Rhône-Alpes, Provence-Alpes-Côte d'Azur, Midi-Pyrénées"
Limousin,"Centre, Auvergne, Midi-Pyrénées, Aquitaine, Poitou-Charentes"
Lorraine,"Alsace, Champagne-Ardenne, Franche-Comté"
Midi-Pyrénées,"Limousin, Auvergne, Languedoc-Roussillon, Aquitaine"
Nord-Pas-de-Calais,"Picardie, Haute Normandie, Champagne-Ardenne"
Pays de la Loire,"Basse Normandie, Centre, Poitou-Charentes, Bretagne"
Picardie,"Nord-Pas-de-Calais, Champagne-Ardenne, Ile de France, Haute Normandie"
Poitou-Charentes,"Pays de la Loire, Centre, Limousin, Aquitaine"
Provence-Alpes-Côte-d'Azur,"Rhône-Alpes, Languedoc-Roussillon"
Rhône-Alpes,"Bourgogne, Franche-Comté, Provence-Alpes-Côte-d'Azur, Languedoc-Roussillon, Auvergne"
