State,Borders
Abruzzes,"Marches, Latium, Molise","366,395"
Basilicate,"Calabre, Pouilles, Campanie","488,515"
Calabre,"Basilicate","510,608"
Campanie,"Latium, Molise, Pouilles, Basilicate","425,484"
Émilie-Romagne,"Toscane, Marches, Vénétie, Lombardie, Piémont, Ligurie","227,236"
Frioul-Vénétie Julienne,"Vénétie","326,129"
Latium,"Toscane, Ombrie, Marches, Abruzzes, Molise, Campanie","310,410"
Ligurie,"Piémont, Lombardie, Émilie-Romagne, Toscane","122,239"
Lombardie,"Piémont, Trentin-Haut-Adige, Vénétie, Émilie-Romagne, Ligurie","165,159"
Marches,"Émilie-Romagne, Toscane, Ombrie, Latium, Abruzzes","334,322"
Molise,"Abruzzes, Latium, Campanie, Pouilles","409,436"
Ombrie,"Toscane, Marches, Latium","297,344"
Piémont,"Vallée d'Aoste, Lombardie, Émilie-Romagne, Ligurie","75,201"
Pouilles,"Molise, Campanie, Basilicate","517,483"
Sardaigne,"None","119,538"
Sicile,"None","392,717"
Toscane,"Ligurie, Émilie-Romagne, Marches, Ombrie, Latium","239,318"
Trentin-Haut-Adige,"Vénétie, Lombardie","240,108"
Vallée d'Aoste,"Piémont","56,151"
Vénétie,"Trentin-Haut-Adige, Frioul-Vénétie Julienne, Lombardie, Émilie-Romagne","266,163"
