State,Borders
Haut-Casquette,"Pouce G, Gant G, Cheveux, Rond Haut, Bas-Casquette, Visage","217,111"
Bas-Casquette,"Rond Haut, Rond Bas, Visage","340,142"
Rond Haut,"Bas-Casquette, Haut-Casquette","282,84"
Rond Bas,"Bas-Casquette","294,102"
Cheveux,"Haut-Casquette, Visage, Gant G, Bras G","190,197"
Iris D,"Globe D, Visage","308,194"
Globe D,"Iris D, Visage","313,190"
Pupille D,"None","301,205"
Iris G,"Globe G, Visage","259,189"
Globe G,"Iris G, Visage","267,187"
Pupille G,"None","249,192"
Visage,"Dents, Langue, Cheveux, Bas-Casquette, Haut-Casquette, Bras G, Iris D, Globe D, Iris G, Globe G, Bretelle G, Buste, Bretelle D","281,227"
Langue,"Dents, Visage","243,293"
Dents,"Langue, Visage","250,280"
Gant D,"Bretelle D, Bouton D, Salopette","354,341"
Buste,"Visage, Bretelle D, Bretelle G, Salopette","256,332"
Gant G,"Pouce G, Bras G, Haut-Casquette, Cheveux","80,105"
Pouce G,"Gant G, Haut-Casquette","173,89"
Bras G,"Gant G, Cheveux, Visage, Bretelle G, Salopette","160,282"
Chaussure D,"Salopette, Semelle D","332,479"
Semelle D,"Chaussure D","370,529"
Chaussure G,"Salopette, Semelle G","67,601"
Semelle G,"Chaussure G","34,605"
Salopette,"Chaussure G, Chaussure D, Bras G, Buste, Gant D, Bretelle D, Bretelle G, Bouton D","224,440"
Bretelle D,"Bouton D, Gant D, Salopette, Buste, Visage","289,339"
Bretelle G,"Bouton G, Bras G, Salopette, Buste, Visage","215,322"
Bouton D,"Bretelle D, Gant D, Salopette","309,368"
Bouton G,"Bretelle G","223,355"
Dessous moustache,"Dents","244,262"
