State,Borders
1e,"8e, 2e, 3e, 4e, 5e, 6e, 7e","311,287"
2e,"9e, 10e, 3e, 1e","327,260"
3e,"2e, 10e, 11e, 4e, 1e","371,280"
4e,"1e, 3e, 11e, 12e, 5e, 6e","366,320"
5e,"14e, 6e, 1e, 4e, 12e, 13e","350,356"
6e,"15e, 7e, 1e, 4e, 5e, 14e","306,343"
7e,"16e, 8e, 1e, 6e, 15e","252,313"
8e,"16e, 17e, 18e, 9e, 1e, 7e","249,250"
9e,"17e, 18e, 10e, 2e, 8e","315,225"
10e,"18e, 19e, 20e, 11e, 3e, 2e, 9e","378,231"
11e,"10e, 19e, 20e, 12e, 4e, 3e","422,299"
12e,"20e, 11e, 4e, 5e, 13e","455,380"
13e,"12e, 5e, 14e","376,429"
14e,"13e, 5e, 6e, 15e","290,415"
15e,"16e, 7e, 6e, 14e","203,379"
16e,"17e, 8e, 7e, 15e","160,303"
17e,"16e, 8e, 9e, 18e","232,191"
18e,"17e, 8e, 9e, 10e, 19e","341,167"
19e,"18e, 10e, 11e, 20e","440,189"
20e,"19e, 10e, 11e, 12e","479,283"
