State,Borders
Alabama,"Florida, Georgia, Mississippi, Tennessee","730,465"
Alaska,"None"
Arizona,"California, Colorado, Nevada, New Mexico, Utah","239,476"
Arkansas,"Louisiana, Mississippi, Missouri, Oklahoma, Tennessee, Texas","606,425"
California,"Arizona, Nevada, Oregon","129,410"
Colorado,"Arizona, Kansas, Nebraska, New Mexico, Oklahoma, Utah, Wyoming","347,317"
Connecticut,"Massachusetts, New York, Rhode Island","965,178"
Delaware,"Maryland, New Jersey, Pennsylvania","929,258"
Florida,"Alabama, Georgia","856,560"
Georgia,"Alabama, Florida, North Carolina, South Carolina, Tennessee","809,468"
Hawaii,"None"
Idaho,"Montana, Nevada, Oregon, Utah, Washington, Wyoming","198,156"
Illinois,"Indiana, Iowa, Michigan, Kentucky, Missouri, Wisconsin","663,285"
Indiana,"Illinois, Kentucky, Michigan, Ohio","725,273"
Iowa,"Illinois, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin","579,236"
Kansas,"Colorado, Missouri, Nebraska, Oklahoma","487,335"
Kentucky,"Illinois, Indiana, Missouri, Ohio, Tennessee, Virginia, West Virginia","739,336"
Louisiana,"Arkansas, Mississippi, Texas","627,528"
Maine,"New Hampshire","996,67"
Maryland,"Delaware, Pennsylvania, Virginia, West Virginia","898,259"
Massachusetts,"Connecticut, New Hampshire, New York, Rhode Island, Vermont","977,150"
Michigan,"Illinois, Indiana, Minnesota (water border), Ohio, Wisconsin","746,189"
Minnesota,"Iowa, Michigan (water border), North Dakota, South Dakota, Wisconsin","556,127"
Mississippi,"Alabama, Arkanssas, Louisiana, Tennessee","666,474"
Missouri,"Arkansas, Illinois, Iowa, Kansas, Kentucky, Nebraska, Oklahoma, Tennessee","602,330"
Montana,"Idaho, North Dakota, South Dakota, Wyoming","298,93"
Nebraska,"Colorado, Iowa, Kansas, Missouri, South Dakota, Wyoming","457,257"
Nevada,"Arizona, California, Idaho, Oregon, Utah","134,259"
New Hampshire,"Maine, Massachusetts, Vermont","969,121"
New Jersey,"Delaware, New York, Pennsylvania","935,227"
New Mexico,"Arizona, Colorado, Oklahoma, Texas, Utah","340,439"
New York,"Connecticut, Massachusetts, New Jersey, Pennsylvania, Rhode Island (water border), Vermont","911,151"
North Carolina,"Georgia, South Carolina, Tennessee, Virginia","865,365"
North Dakota,"Minnesota, Montana, South Dakota","451,93"
Ohio,"Indiana, Kentucky, Michigan, Pennsylvania, West Virginia","786,259"
Oklahoma,"Arkansas, Colorado, Kansas, Missouri, New Mexico, Texas","498,410"
Oregon,"California, Idaho, Nevada, Washington","122,178"
Pennsylvania,"Delaware, Maryland, New Jersey, New York, Ohio, West Virginia","877,218"
Rhode Island,"Connecticut, Massachusetts, New York (water border)","982,170"
South Carolina,"Georgia, North Carolina","846,411"
South Dakota,"Iowa, Minnesota, Montana, Nebraska, North Dakota, Wyoming","454,179"
Tennessee,"Alabama, Arkansas, Georgia, Kentucky, Mississippi, Missouri, North Carolina, Virginia","723,387"
Texas,"Arkansas, Louisiana, New Mexico, Oklahoma","479,549"
Utah,"Arizona, Colorado, Idaho, Nevada, New Mexico, Wyoming","232,296"
Vermont,"Massachusetts, New Hampshire, New York","946,112"
Virginia,"Kentucky, Maryland, North Carolina, Tennessee, West Virginia","869,312"
Washington,"Idaho, Oregon","115,54"
West Virginia,"Kentucky, Maryland, Ohio, Pennsylvania, Virginia","830,294"
Wisconsin,"Illinois, Iowa, Michigan, Minnesota","639,169"
Wyoming,"Colorado, Idaho, Montana, Nebraska, South Dakota, Utah","319,210"
